Location,Frequency
"New York City, NY",10
"San Francisco, CA",7
"Irvine, CA",5
"Los Angeles, CA",4
"Oakland, CA",4
"Dallas, TX",4
"Fort Worth, TX",3
"Richmond, VA",3
"Alpharetta, GA",3
"Tacoma, WA",2
"Redwood City, CA",2
"San Mateo, CA",2
"Vancouver, BC",2
"San Jose, CA",2
"Monrovia, CA",2
"Tampa, FL",2
"Durham, NC",2
"Boston, MA",1
"Marina Del Rey, CA",1
"Long Beach, CA",1
"San Rafael, CA",1
"Napa, CA",1
"Buena Park, CA",1
"Dearborn, MI",1
"Burleson, TX",1
"Stockton, CA",1
"Granbury, TX",1
"Stephenville, TX",1
"Cambridge, MA",1
"Oak Brook, IL",1
"San Diego, CA",1
"Monmouth Beach, NJ",1
"Parker, CO",1
"Pineville, NC",1
"Wheatland, MO",1
"Cleburne, TX",1
"Westchester County, NY",1
"Round Lake, IL",1
"West Palm Beach, FL",1
"Hugo, MN",1
"Houston, TX",1
"Santa Rosa, CA",1
"Arlington, TX",1
"Kirkland, WA",1
"Petaluma, CA",1
"Tualatin, OR",1
"Spokane, WA",1
"Weatherford, TX",1
"Lebanon, MO",1
"Foster City, CA",1
"Charlotte, NC",1
"Queens, NY",1
"Lancaster, OH",1
"Arcadia, CA",1
"Costa Mesa, CA",1
"El Segundo, CA",1
"Glenview, IL",1
"Berkeley, CA",1
"Vancouver, WA",1
"Springfield, MO",1
"Culver City, CA",1
"Seattle, WA",1
"Meadville, PA",1
"Mission Viejo, CA",1
"Fort Washington, PA",1
"Chicago, IL",1
"Bethesda, MD",1
"Bolivar, MO",1
